id,latitude,longitude,name,type,pm25,color,url,label
93,24.08,120.556,THU_USR_16(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF912,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
94,23.119,120.306,LM_目加溜灣,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF90C,&starf;&starf;&starf;&starf;&starf;
95,22.626,120.266,NSYSU MEM,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF908,&starf;&starf;&starf;&star;&star;
96,24.191,120.61,Todd,Malfunction,1,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF8F2,&starf;&starf;&starf;&star;&star;
97,24.998,121.552,Steph Xinhai,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF8E6,&starf;&starf;&starf;&starf;&starf;
98,25.008,121.487,LiDeStreetLANE98NO66,Malfunction,1,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF8DA,&starf;&star;&star;&star;&star;
99,25.119,121.471,關渡自然公園-自然中心,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF8D2,&starf;&starf;&starf;&starf;&starf;
100,24.948,121.379,名人尊品,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF898,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
101,24.211,120.609,新科路,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF866,&starf;&starf;&starf;&starf;&starf;
102,22.66,120.323,明誠一路真愛大樓10F陽台(室外),Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF83E,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
103,24.308,120.73,7-11,Malfunction,1,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF822,&starf;&starf;&starf;&starf;&starf;
104,24.135,120.673,AirB1,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF818,&star;&star;&star;&star;&star;
105,22.638,120.338,九如一路186巷,Malfunction,1,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF816,&star;&star;&star;&star;&star;
106,25.089,121.459,Bluesky ,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF814,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
107,24.073,120.543,v3,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF808,&starf;&starf;&starf;&star;&star;
108,23.489,120.458,terry,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF7F6,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
109,24.187,120.68,VY AIR GUARD,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF7E6,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
110,24.791,121.01,gostar330,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF77A,&starf;&starf;&starf;&starf;&star;
111,23.01,120.222,日光行舘第二期,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF740,&star;&star;&star;&star;&star;
112,24.299,120.577,THU_USR_06(2019),AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF704,&starf;&starf;&starf;&starf;&starf;
113,22.626,120.266,NSYSUCHEM,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF6DE,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
114,22.645,120.344,陽明照相館_室內,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF6CC,&star;&star;&star;&star;&star;
115,22.649,120.318,Peter Huang,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF6CA,&starf;&star;&star;&star;&star;
116,24.249,120.719,PigHouse,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF696,&starf;&star;&star;&star;&star;
117,22.962,120.279,歸仁區民生八街,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF68E,&star;&star;&star;&star;&star;
118,25.096,121.738,LeoH,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF68C,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
119,24.159,120.648,epb綜計,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF674,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
120,24.35,120.619,新政仁愛,AirBox,1,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF656,&starf;&starf;&starf;&starf;&star;
121,22.682,120.32,jjjjjjjjjjjjjjjj時代爵邸,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF61A,&starf;&starf;&star;&star;&star;
